Percdeleted,AvgComKarma,TotalKarma,ComUpRatio,ContainsCant,ContainsDont,ContainsEveryone,ContainsAnyone,ContainsHappy,ContainsLove,AvgComLen,AvgWordLen,AvgCommTime,VoteTime,AvgVaderSentiment,post id,sub
0.027624309,21.52486188,30512,168.5745856,0.056818182,0.028409091,0,0,0,0.017045455,10.97727273,4.639751553,0.001052222,0.177377903,0.007807386,b4w7yx,gatekeeping
0.015681544,18.03481393,30479,36.58943577,0.046341463,0.106097561,0.025609756,0.020731707,0.002439024,0.01097561,37.43414634,4.472504561,0.00604939,0.221343768,0.026366585,dglac1,gatekeeping
0.020356234,32.4887218,30400,76.19047619,0.058823529,0.10741688,0.023017903,0.030690537,0.007672634,0.012787724,32.0511509,4.268911586,0.009526542,0.725831772,-0.196082864,b7m6g2,gatekeeping
0.049019608,20.8369863,30359,41.58767123,0.028776978,0.120863309,0.021582734,0.020143885,0.027338129,0.094964029,30.40431655,4.281529506,1.171749599,48.73033708,0.112534101,en8e9t,gatekeeping
0.013793103,11.20754717,30332,52.02744425,0.019130435,0.126956522,0.012173913,0.010434783,0.003478261,0.04,27.64173913,4.362337989,0.128852118,6.703846409,0.11845687,jqelkg,gatekeeping
0.008196721,16.87413555,30163,41.71922545,0.006973501,0.058577406,0.006973501,0.006973501,0.006973501,0.019525802,16.71548117,4.268752607,0.033258353,1.387512708,0.061338215,ijwna1,gatekeeping
0.023956194,16.13599459,30152,20.40054127,0.017325017,0.065142065,0.006930007,0.003465003,0.001386001,0.008316008,24.12681913,4.368346977,0.010882317,0.222005154,-0.008055301,c7qghd,gatekeeping
0.014109347,32.21366025,30140,52.78458844,0.021314387,0.087033748,0.010657194,0.007104796,0.008880995,0.024866785,25.63587922,4.381071156,0.005650579,0.298263461,0.191358259,9qfgco,gatekeeping
0.005952381,10.85756677,30135,89.42136499,0.014925373,0.017910448,0.011940299,0.008955224,0,0,10.55223881,4.54738331,0.003943275,0.352612995,0.05538,bncbg8,gatekeeping
0.029669589,7.469536424,30025,19.88410596,0.022510232,0.106412005,0.028649386,0.025920873,0.006821282,0.045702592,39.59754434,4.688751077,0.008086554,0.160793889,0.015359277,cgttjh,gatekeeping
0.021913806,18.10093057,30019,21.48818898,0.014630578,0.036576445,0.015362107,0.00658376,0.000731529,0.008046818,19.79590344,4.58272052,0.01019438,0.219058772,0.012594587,b7bgt2,gatekeeping
0.025682183,34.86970173,30003,47.10047096,0.014492754,0.051529791,0.020933977,0.012882448,0.003220612,0.006441224,17.82125604,4.542152345,0.002493521,0.117446016,0.016722061,aiq3x9,gatekeeping
0.028704422,16.24205749,29952,22.65658094,0.044357977,0.126848249,0.014785992,0.019455253,0.00311284,0.018677043,33.58677043,4.292801038,0.013900194,0.31493088,0.109170973,a1cira,gatekeeping
0.020348837,27.11560694,29928,86.49710983,0.038348083,0.076696165,0.002949853,0.008849558,0.002949853,0.014749263,18.80825959,4.460947302,0.004258672,0.368362826,0.05169292,d6ty9f,gatekeeping
0.029386344,27.57764505,29898,25.51023891,0.016695958,0.079964851,0.007908612,0.003514938,0.006151142,0.014059754,25.78383128,4.489741667,0.028500721,0.727060203,-0.037228032,ex2xl2,gatekeeping
0.030674847,27.82902584,29893,59.42942346,0.022540984,0.06352459,0.008196721,0.010245902,0,0.024590164,25.39754098,4.300387284,0.002312885,0.137453426,0.120420697,d9iic2,gatekeeping
0.018220793,13.37849462,29817,32.06129032,0.037239869,0.181818182,0.007667032,0.014238773,0,0.005476451,35.19277108,4.528430488,0.005998762,0.192328056,-0.021920701,ez85b8,gatekeeping
0.024096386,28.20754717,29794,70.26886792,0.028985507,0.106280193,0.019323671,0.014492754,0.007246377,0.019323671,27.67874396,4.309538354,0.001667744,0.11719045,0.089957729,a8n08s,gatekeeping
0.039412158,12.96732026,29747,19.44248366,0.042828008,0.144119646,0.032630863,0.009517335,0.004078858,0.012236574,43.50169952,4.715100561,0.012926153,0.251316517,0.037305235,b0z3hv,gatekeeping
0.002964845,16.79295715,29748,12.62112855,0.007234043,0.028085106,0.00893617,0.020851064,0.000425532,0.005957447,10.34723404,4.077027472,0.009210489,0.116246771,-0.096561404,dta5lk,gatekeeping
0.016967707,43.37473002,29588,15.9762419,0.029104887,0.052718287,0.012630423,0.011532125,0.006589786,0.00933553,29.45085118,4.362651501,0.007641458,0.122081777,-0.065544152,8og7qa,gatekeeping
0.052173913,51.35812672,29516,81.31129477,0.046376812,0.060869565,0.011594203,0.008695652,0.002898551,0.005797101,30.89275362,4.454212798,0.001621348,0.131833941,0.029705797,6zup3b,gatekeeping
0.072472238,20.49452355,29462,16.1347207,0.03172738,0.097532315,0.01586369,0.006462985,0.004112808,0.006462985,37.34606345,4.976621619,0.007506286,0.121111826,0.078109812,acrweq,gatekeeping
0.025157233,20.47423398,29406,20.47771588,0.036428571,0.101428571,0.021428571,0.026428571,0.008571429,0.022142857,34.44214286,4.447458471,0.245042134,5.017903206,0.053795643,ctfvxc,gatekeeping
0.004524887,14.00913242,29336,133.9543379,0.013761468,0.036697248,0.004587156,0.004587156,0,0.004587156,14.99082569,4.496328029,0.001038693,0.139137386,-0.034977064,b2xj1n,gatekeeping
0.01623816,20.39165545,29192,39.28936743,0.020519836,0.071135431,0.021887825,0.017783858,0,0.024623803,28.83584131,4.54328953,0.004599985,0.180730519,0.116540356,awif8s,gatekeeping
0.035947712,14.8164557,29119,92.14873418,0.016393443,0.026229508,0.006557377,0.003278689,0,0.006557377,10.51803279,4.451371571,0.004977788,0.458696833,-0.030204918,b70n3k,gatekeeping
0.015821501,10.05176664,29123,11.96507806,0.016283925,0.078079332,0.011691023,0.028392484,0.00125261,0.022129436,30.04885177,4.631900732,0.053410672,0.639062863,-0.038529979,hn9w8f,gatekeeping
0.005390836,26.62803235,29016,39.10512129,0.01897019,0.078590786,0.025745257,0.014905149,0.009485095,0.032520325,24.82520325,4.592489493,0.009015033,0.352533949,0.094865989,egp9i3,gatekeeping
0.042690815,20.30125,28906,36.1325,0.041720991,0.086049544,0.005215124,0.019556714,0.003911343,0.001303781,30.02346806,4.411412194,0.004798105,0.173367537,0.056919296,blywcm,gatekeeping
0.048260382,10.22460497,28835,32.54514673,0.03084223,0.067615658,0.014234875,0.010676157,0.014234875,0.027283511,27.53855279,4.254964463,0.009178048,0.298700933,0.181698221,hl1c76,gatekeeping
0.009075044,12.45591851,28817,10.12188268,0.02764977,0.040056717,0.011343495,0.010280043,0.001063453,0.013470401,19.3325062,4.485578598,0.023566525,0.238537601,-0.085124459,i0cy2z,gatekeeping
0.056410256,17.12254902,28664,140.5098039,0.005181347,0.031088083,0,0.010362694,0,0,9.502590674,4.427480916,0.000978537,0.137494001,0.088757513,azuyxa,gatekeeping
0.005,24.89552239,28598,142.278607,0.015,0.02,0.01,0.005,0,0,12.92,4.54373065,0.001147905,0.163322276,0.055382,d5dn5f,gatekeeping
0.020533881,20.13845099,28589,19.59492803,0.037088873,0.093072078,0.027291812,0.017494752,0.007697691,0.012596221,31.8236529,4.625076964,0.009270983,0.181664253,-0.084941428,daejwe,gatekeeping
0.045967042,23.47266611,28527,11.99621531,0.037852113,0.187940141,0.036971831,0.02596831,0.014524648,0.013644366,42.13204225,4.567475241,0.009222928,0.110640233,-0.047138688,8fqp0a,gatekeeping
0.007639419,13.6351866,28523,21.72353389,0.067536454,0.073676132,0.008442057,0.046815042,0,0.006139678,19.19416731,4.610715714,0.005500065,0.119480841,0.00100023,cufza7,gatekeeping
0.033579966,23.16694963,28504,16.13129598,0.031615925,0.093091335,0.019906323,0.014051522,0.003512881,0.040398126,28.58665105,4.409085323,0.069873658,1.127152658,0.163107904,afvg3s,gatekeeping
0.015992474,13.56400742,28403,26.34786642,0.044297832,0.105560792,0.008482564,0.010367578,0.002827521,0.072573044,22.40245052,4.370019774,0.004193125,0.110479888,0.068299623,d0g36t,gatekeeping
0.065462754,26.45217391,28323,61.57173913,0.018561485,0.106728538,0.016241299,0.011600928,0,0,19.40603248,4.425992348,1.130869458,69.62959928,0.045416937,ddan8t,gatekeeping
0.029673591,13.10762332,28263,42.24663677,0.029275809,0.11248074,0.027734977,0.024653313,0.004622496,0.006163328,30.13867488,4.506441718,0.081676837,3.450571677,0.079693991,ep10zt,gatekeeping
0.079175705,17.96238245,28172,29.43782654,0.035067873,0.135746606,0.015837104,0.028280543,0.011312217,0.019230769,37.07466063,4.665710624,0.004765496,0.140285845,0.047358937,djyhsp,gatekeeping
0.039404553,37.55311973,28141,23.72765599,0.031551271,0.098159509,0.008764242,0.007887818,0.000876424,0.007887818,23.79316389,4.579821718,0.004599731,0.109140827,0.049566082,6slbnf,gatekeeping
0.034296029,27.70106762,28102,16.66785291,0.028238183,0.117249847,0.037446286,0.033763045,0.004910988,0.057704113,30.3456108,4.463131916,0.015466944,0.257800746,0.012732351,de4nnn,gatekeeping
0.018518519,18.35897436,28084,102.8717949,0.029850746,0.044776119,0.014925373,0.018656716,0,0,20.39552239,4.532381998,0.004668047,0.480210387,0.005658582,ar2a9f,gatekeeping
0.00886918,21.14317181,28050,61.78414097,0.013333333,0.044444444,0.011111111,0.006666667,0.026666667,0.006666667,31.56444444,4.216840327,0.003830137,0.236641729,0.112886444,c303r9,gatekeeping
0.036363636,62.03525641,28001,44.87339744,0.019933555,0.07641196,0.019933555,0.016611296,0.009966777,0.003322259,25.35215947,4.426025423,0.003237831,0.145292459,0.10856794,9px6kv,gatekeeping
0.063704497,22.02219873,27912,14.75264271,0.037789058,0.105470953,0.028764805,0.015228426,0.002256063,0.012972363,35.89678511,4.634331055,1.715529227,25.30858974,-0.101682854,a53g97,gatekeeping
0.017241379,22.50493746,27903,18.36932192,0.024782317,0.07367716,0.016075017,0.01406564,0.006697924,0.012056263,22.8687207,4.29089418,0.007990965,0.146788608,-0.003031346,evlfr6,gatekeeping
0.022284123,21.29041096,27890,25.47031963,0.032679739,0.186741363,0.028944911,0.013071895,0.006535948,0.092436975,48.7124183,4.344865922,0.028326621,0.721488092,0.173710644,hgqlhu,gatekeeping
0.029150824,18.87894073,27877,35.15384615,0.031168831,0.085714286,0.020779221,0.042857143,0.005194805,0.023376623,35.46623377,4.566809477,0.018330492,0.644387298,-0.012732727,bj3aov,gatekeeping
0.023904382,24.49479167,27877,36.29817708,0.022666667,0.130666667,0.012,0.016,0.006666667,0.048,26.68266667,4.366330202,0.011070331,0.401832851,0.103348667,9rh4j5,gatekeeping
0.01611279,24.53131313,27779,28.05959596,0.014373717,0.036960986,0.008213552,0.006160164,0.003080082,0.009240246,18.58110883,4.291247652,0.005884852,0.165126582,0.054792813,hf2uvb,gatekeeping
